codigo_ibge,ano,deficitAgua,deficitEsgoto,deficitResiduos
2606804,2016,28.61,96.24,
2606804,2017,27.700000000000003,93.46,
2606804,2018,26.200000000000003,93.75,
2606804,2019,26.11,93.19,
2606804,2020,26.03,93.25,
2606804,2021,25.78,93.68,
2606804,2022,22.489999999999995,94.98,
2606804,2023,38.12,,
2606903,2015,32.900000000000006,0.0,
2606903,2016,32.72,,
2606903,2017,35.739999999999995,,
2606903,2018,34.44,,
2606903,2019,33.86,,
2606903,2020,32.959999999999994,,
2606903,2021,32.209999999999994,0.0,
2606903,2022,23.83,,
2606903,2023,45.84,,
2607000,2015,39.52,68.13,
2607109,2015,52.88,,
2607109,2016,51.75,,
2607109,2017,50.99,,
2607109,2018,49.85,,
2607109,2019,48.88,,
2607109,2020,35.95,,
2607109,2021,33.44,,
2607109,2022,34.209999999999994,,
2607109,2023,45.19,,
2607208,2015,42.22,85.28999999999999,
2607208,2016,41.54,81.64,
2607208,2017,38.27,80.28999999999999,
2607208,2018,36.69,79.96000000000001,
2607208,2019,35.81,79.73,
2607208,2020,34.349999999999994,79.41,
2607208,2021,33.650000000000006,82.03999999999999,
2607208,2022,31.11,96.45,
2607208,2023,36.42,,
2607307,2015,43.48,80.13,
2607307,2016,44.15,54.71,
2607307,2017,44.13,53.93,
2607307,2018,44.29,53.47,
2607307,2019,44.83,55.21,
2607307,2020,45.2,54.53,
2607307,2021,45.64,53.21,
2607307,2022,41.03,64.39,
2607307,2023,54.2,,
2607406,2015,0.0,,
2607406,2016,0.0,0.0,
2607406,2017,0.0,,
2607406,2018,0.0,,
2607406,2019,0.0,,
2607406,2020,0.0,,
2607406,2021,0.0999999999999943,,
2607406,2022,1.5600000000000025,,
2607406,2023,18.459999999999994,,
2607505,2015,32.989999999999995,,
2607505,2016,29.790000000000006,,
2607505,2017,28.200000000000003,,
2607505,2018,26.83,,
2607505,2019,25.52,,
2607505,2020,23.78,,
2607505,2021,21.27,,
2607505,2022,33.56,,
2607505,2023,59.47,,
2607604,2015,0.0,,
2607604,2016,0.0,,
2607604,2017,0.0,,
2607604,2018,0.0,,
2607604,2019,0.0,,
2607604,2020,0.0,,
2607604,2021,0.0,,
2607604,2022,0.0,,
2607604,2023,14.060000000000002,,
2607703,2015,32.14,,
2607703,2016,27.599999999999994,0.0,
2607703,2017,25.08,,
2607703,2018,23.489999999999995,,
2607703,2019,21.39,,
2607703,2020,19.58,87.9,
2607703,2021,17.310000000000002,82.68,
2607703,2022,16.870000000000005,84.66,
2607703,2023,35.36,,
2607752,2015,42.7,69.52,
2607752,2016,43.31,67.49000000000001,
2607752,2017,42.43,70.41,
2607752,2018,42.29,70.23,
2607752,2019,40.84,,
2607752,2020,40.73,77.45,
2607752,2021,40.65,78.23,
2607752,2022,41.8,83.99,
2607752,2023,54.2,,
2607802,2015,46.45,,
2607802,2016,43.84,,
2607802,2017,42.35,,
2607802,2018,40.16,,
2607802,2019,39.2,,
2607802,2020,39.28,,
2607802,2021,35.739999999999995,,
2607802,2022,33.540000000000006,,
2607802,2023,45.99,,
2607901,2015,25.950000000000003,93.76,
2607901,2016,25.83,86.38,
2607901,2017,23.53,85.08,
2607901,2018,21.230000000000004,85.06,
2607901,2019,20.53,84.69,
2607901,2020,20.239999999999995,83.85,
2607901,2021,19.989999999999995,65.97,
2607901,2022,18.569999999999997,68.66,
2607901,2023,31.569999999999993,,
2607950,2015,9.980000000000004,,
2607950,2020,38.42,,
2607950,2022,17.049999999999997,,
2608008,2015,84.62,,
2608008,2016,85.56,,
2608008,2017,85.63,,
2608008,2018,84.19,,
2608008,2019,81.8,,
2608008,2020,80.67,,
2608008,2021,79.88,,
2608008,2022,78.02,,
2608008,2023,75.88,,
2608057,2015,21.540000000000006,,
2608057,2016,12.569999999999991,,
2608057,2017,10.069999999999991,,
2608057,2018,9.170000000000002,,
2608057,2019,8.040000000000006,,
2608057,2020,7.290000000000006,,
2608057,2021,4.980000000000004,59.44,
2608057,2022,0.0,67.31,
2608057,2023,31.22,,
2608107,2015,39.78,,
2608107,2016,38.85,,
2608107,2017,38.41,,
2608107,2018,37.82,,
2608107,2019,37.9,,
2608107,2020,36.7,51.72,
2608107,2021,36.79,25.91,
2608107,2022,23.11,,
2608107,2023,35.93000000000001,,
2608206,2015,27.56,,
2608206,2016,26.11,,
2608206,2017,25.290000000000006,53.27,
2608206,2018,25.16,,
2608206,2019,24.709999999999997,,
2608206,2020,23.56,,
2608206,2021,23.709999999999997,,
2608206,2022,7.680000000000007,,
2608206,2023,25.42,,
2608255,2015,64.43,,
2608255,2016,64.72999999999999,,
2608255,2017,64.64,,
2608255,2018,64.16,,
2608255,2019,62.59,,
2608255,2020,55.65,,
2608255,2021,53.82,,
2608255,2022,51.87,,
